duration,Type,mode,len,IP,len,src_IP,dst_IP,len,class
23:10:23.994871,"ARP,",Ethernet,6,len,4,10.0.0.15,fa:9f:a8:d2:37:91,28,1
23:10:24.160848,"ARP,",Ethernet,6,len,4,10.0.0.49,"10.0.0.1,",28,0
23:10:24.162806,"ARP,",Ethernet,6,len,4,10.0.0.49,8e:e1:d4:93:36:3d,28,1
23:10:24.341587,"ARP,",Ethernet,6,len,4,10.0.0.58,"10.0.0.1,",28,0
23:10:24.342799,"ARP,",Ethernet,6,len,4,10.0.0.58,f2:cb:0f:d8:6f:c7,28,1
23:10:24.657284,"ARP,",Ethernet,6,len,4,10.0.0.26,"10.0.0.1,",28,0
23:10:24.659642,"ARP,",Ethernet,6,len,4,10.0.0.26,86:6d:2c:f9:1a:fb,28,1
23:10:25.089377,"ARP,",Ethernet,6,len,4,10.0.0.13,"10.0.0.1,",28,0
23:10:25.091590,"ARP,",Ethernet,6,len,4,10.0.0.13,d6:45:9b:e2:96:63,28,1
23:10:25.804772,"ARP,",Ethernet,6,len,4,10.0.0.30,"10.0.0.1,",28,0
23:10:25.806240,"ARP,",Ethernet,6,len,4,10.0.0.30,6e:e2:af:c3:14:58,28,1
23:10:26.562431,"ARP,",Ethernet,6,len,4,10.0.0.16,"10.0.0.1,",28,0
23:10:26.563532,"ARP,",Ethernet,6,len,4,10.0.0.16,46:87:6e:36:e7:56,28,1
23:10:26.869190,"ARP,",Ethernet,6,len,4,10.0.0.59,"10.0.0.1,",28,0
23:10:26.869791,"ARP,",Ethernet,6,len,4,10.0.0.59,fe:a2:92:e7:3a:3d,28,1
23:10:27.290219,"ARP,",Ethernet,6,len,4,10.0.0.41,"10.0.0.1,",28,0
23:10:27.291911,"ARP,",Ethernet,6,len,4,10.0.0.41,26:6d:8a:e8:42:5d,28,1
23:10:27.605916,"ARP,",Ethernet,6,len,4,10.0.0.20,"10.0.0.1,",28,0
23:10:27.607797,"ARP,",Ethernet,6,len,4,10.0.0.20,3e:c3:a1:ab:99:4b,28,1
23:10:27.906068,"ARP,",Ethernet,6,len,4,10.0.0.43,"10.0.0.1,",28,0
23:10:27.907955,"ARP,",Ethernet,6,len,4,10.0.0.43,a2:af:f7:fa:e7:79,28,1
23:10:28.073824,"ARP,",Ethernet,6,len,4,10.0.0.54,"10.0.0.1,",28,0
23:10:28.075657,"ARP,",Ethernet,6,len,4,10.0.0.54,a2:44:a5:40:97:15,28,1
23:10:28.257592,"ARP,",Ethernet,6,len,4,10.0.0.10,"10.0.0.1,",28,0
23:10:28.259408,"ARP,",Ethernet,6,len,4,10.0.0.10,9a:9b:2b:89:b9:eb,28,1
23:10:28.564833,"ARP,",Ethernet,6,len,4,10.0.0.28,"10.0.0.1,",28,0
23:10:28.566913,"ARP,",Ethernet,6,len,4,10.0.0.28,9e:bf:d2:d2:56:9c,28,1
23:10:29.005518,"ARP,",Ethernet,6,len,4,10.0.0.7,"10.0.0.1,",28,0
23:10:29.005855,"ARP,",Ethernet,6,len,4,10.0.0.7,3e:0b:9e:1b:37:72,28,1
23:10:29.437868,"ARP,",Ethernet,6,len,4,10.0.0.42,"10.0.0.1,",28,0
23:10:29.439623,"ARP,",Ethernet,6,len,4,10.0.0.42,9e:2d:04:79:f6:00,28,1
23:10:29.604704,"ARP,",Ethernet,6,len,4,10.0.0.34,"10.0.0.1,",28,0
23:10:29.606433,"ARP,",Ethernet,6,len,4,10.0.0.34,86:e8:78:e3:19:77,28,1
23:10:30.168690,"ARP,",Ethernet,6,len,4,10.0.0.29,"10.0.0.1,",28,0
23:10:30.171176,"ARP,",Ethernet,6,len,4,10.0.0.29,06:aa:d0:a8:00:34,28,1
23:10:30.481260,"ARP,",Ethernet,6,len,4,10.0.0.61,"10.0.0.1,",28,0
23:10:30.482608,"ARP,",Ethernet,6,len,4,10.0.0.61,d6:ea:53:86:bf:80,28,1
23:10:31.313058,"ARP,",Ethernet,6,len,4,10.0.0.19,"10.0.0.1,",28,0
23:10:31.315061,"ARP,",Ethernet,6,len,4,10.0.0.19,3e:0d:bc:ab:09:4e,28,1
23:10:31.480872,"ARP,",Ethernet,6,len,4,10.0.0.11,"10.0.0.1,",28,0
23:10:31.482707,"ARP,",Ethernet,6,len,4,10.0.0.11,3a:24:10:12:0e:85,28,1
23:10:32.716981,"ARP,",Ethernet,6,len,4,10.0.0.40,"10.0.0.1,",28,0
23:10:32.718295,"ARP,",Ethernet,6,len,4,10.0.0.40,6e:f0:6f:2f:44:fc,28,1
23:10:33.409315,"ARP,",Ethernet,6,len,4,10.0.0.21,"10.0.0.1,",28,0
23:10:33.410774,"ARP,",Ethernet,6,len,4,10.0.0.21,b6:9a:37:11:63:e5,28,1
23:10:33.708990,"ARP,",Ethernet,6,len,4,10.0.0.56,"10.0.0.1,",28,0
23:10:33.710553,"ARP,",Ethernet,6,len,4,10.0.0.56,4e:16:f4:5d:af:0e,28,1
23:10:34.281765,"ARP,",Ethernet,6,len,4,10.0.0.63,"10.0.0.1,",28,0
23:10:34.282277,"ARP,",Ethernet,6,len,4,10.0.0.63,ae:e5:93:81:ca:fd,28,1
